dc84f17b-f318-4255-ad27-35ea367bb72e|XXXXXXXXXXXX9917|07/14|11/16|Ryan|Levine|1042 Terry Boulevard$NewJersey$US$97281
f9c7a6f4-5d9b-4398-9811-72ca5294f3f2|XXXXXXXXXXXX3116|03/14|10/17|Wayne|Vasquez|1793 Britton Rd$Florida$US$09149
396495d4-a73c-4174-be2a-91c6de20c864|XXXXXXXXXXXX5655|06/13|11/16|George|Suarez|496 Sunrise Court$Colorado$US$91740
1bd66aae-6797-4f73-b89a-b3cc0f436897|XXXXXXXXXXXX7842|09/14|07/17|Dusty|Chaney|737 Playford Trail$California$US$01116
f13f4d17-fe6b-4d5d-a820-375764e57d0f|XXXXXXXXXXXX9647|04/13|01/17|Thomas|Dotson|438 Parliament Ridge$Alabama$US$05879
5ddd2c79-48c6-48ed-8c29-aba894d2c67d|XXXXXXXXXXXX5596|07/13|02/16|James|Mullen|1057 Perine Lane$Colorado$US$41842
12d4cadb-de4d-411b-aaed-dd5995f5ce6d|XXXXXXXXXXXX2948|04/13|06/17|Patrick|Walker|639 Mapleview Crescent$Washington$US$29163
b778ed2a-6dde-4339-b013-968ce66dc820|XXXXXXXXXXXX9443|05/14|10/17|Jan|Stein|1041 Enon Heights$California$US$75107
0bbd6786-0b34-4d8f-855c-1c47b887b1ba|XXXXXXXXXXXX1043|08/13|07/16|Donna|Navarro|417 Fritter Circle$Georgia$US$45965
5c5d7b10-a9e4-4483-96f6-cda97bc4fb72|XXXXXXXXXXXX1726|07/14|03/16|Floyd|Sharp|1523 Cass Trail$Washington$US$15188
546c04a8-47b2-4910-8260-bf8e58c91fba|XXXXXXXXXXXX3407|11/14|09/17|Chelsea|Hurst|1771 Salem Blvd$NewJersey$US$17976
b515c660-e886-438d-8416-cae5cd067db7|XXXXXXXXXXXX1593|03/13|05/17|Shanna|Howell|1095 Jonathan Path$Washington$US$01347
b1c9d02e-56aa-426a-9d3a-fe0f7bfa0e5c|XXXXXXXXXXXX5822|02/13|07/16|Skyler|Murray|1575 Elfin Crescent$Florida$US$86477
29f6a292-afde-4d70-84c2-c5c0c9a4ed58|XXXXXXXXXXXX4659|09/13|03/17|Richard|Richmond|472 Kibler Boulevard$Washington$US$96392
b88d3e07-13ad-4902-9b7e-bcda80ba0774|XXXXXXXXXXXX1318|03/14|07/16|Rob|Ruiz|1455 Tremont Terrace$Florida$US$30245
02809613-a0d8-47ec-94bf-b081bd23702e|XXXXXXXXXXXX0273|05/14|01/16|Penny|Spears|961 Wilshire Blvd$Washington$US$64569
0c18d593-94d0-4668-b305-4bf51c8fcd91|XXXXXXXXXXXX5578|10/14|04/17|Rachel|Melton|911 Eastport Drive$Missouri$US$72373
7aa8a6a1-23ea-45d4-88c7-33ee388c9574|XXXXXXXXXXXX1249|06/13|01/17|Bill|Browning|1243 Layton Circle$Colorado$US$22781
92365bc6-3997-4447-ab23-aeffe91bdebc|XXXXXXXXXXXX4067|06/13|08/16|Paula|Dunlap|559 Hinman Drv$Colorado$US$67568
3802ce5b-928c-4859-bc96-fe805b8f288c|XXXXXXXXXXXX9625|06/14|03/17|Sheila|Velez|1047 Idaho Trail$NewYork$US$70224
e838420e-c4ec-4d8f-b45d-c021ecfc4b47|XXXXXXXXXXXX9149|06/13|03/17|Bobby|Wallace|627 Christopher Path$Georgia$US$74544
3f43deea-af85-4a8f-b81d-8cbdf4d541c2|XXXXXXXXXXXX2410|05/14|02/17|Scott|Richmond|1483 Middle Road$Hawaii$US$81048
b50551c5-a524-4802-a92a-91f54d6caf7a|XXXXXXXXXXXX4470|06/13|06/16|Sherry|Owen|1792 Alvin Circle$California$US$32812
94c9ef61-cf60-421c-b766-4151166f8d13|XXXXXXXXXXXX9879|02/14|07/16|Jade|Phillips|571 Marne Lane$Alabama$US$80420
f336365e-a92b-45d8-9dc5-7d5584d34b82|XXXXXXXXXXXX4188|10/14|06/17|Joshua|Hall|757 Dragoo Ave$Florida$US$10475
64b71e61-30f8-4a47-8bbd-4dced18ae15f|XXXXXXXXXXXX0498|02/13|07/16|Tina|Clarke|581 Stephens Terrace$Missouri$US$40391
ee9a982f-356e-43a0-bcda-63bc13460b43|XXXXXXXXXXXX9844|10/13|09/17|Katherine|Lee|1459 Ryan Street$Washington$US$01397
e6d01354-364b-4346-a105-535927fbecff|XXXXXXXXXXXX6763|07/14|08/17|Valerie|Rowe|978 Phillips Blvd$Alabama$US$39380
3670e524-1f91-4c58-82c5-86d2206f2ff7|XXXXXXXXXXXX7803|08/13|08/16|Kristin|Cash|897 Blue Lane$NewYork$US$81944
cfed18d2-fc72-44cc-b750-cb6c1f944c1d|XXXXXXXXXXXX7208|08/13|07/16|Carolyn|Lambert|1013 Bateman Lane$Georgia$US$27254
1b8bf144-4cf6-4d32-a829-8499992d0449|XXXXXXXXXXXX0303|01/14|11/16|Nancy|Lawrence|1113 Willow Circle$Hawaii$US$60152
8ca213d6-9f0e-4d02-ae6b-2619d867317a|XXXXXXXXXXXX9086|10/14|03/16|Norman|Jimenez|434 Mackenzie Path$Georgia$US$79952
e130f6b1-f481-4ba0-a9a5-9020a0afa4ab|XXXXXXXXXXXX6792|03/14|11/17|Shelly|McDowell|552 Nancy Parkway$Alabama$US$20329
84ff8cb7-3c11-4e6f-9bc0-1c1b769a6441|XXXXXXXXXXXX2001|02/14|01/16|Dan|Avery|1037 Dewey Ridge$Alabama$US$10017
6b48e146-fff4-419a-9408-a7d0f49b9cee|XXXXXXXXXXXX3459|06/14|03/17|Wayne|Cochran|1566 Millers Parkway$Alaska$US$73830
af471492-e971-4eae-b67c-fa58b6e6eda4|XXXXXXXXXXXX8244|07/13|09/17|Faith|Sosa|668 Fultonrose Trail$Florida$US$33728
d03c5605-6245-414b-88fc-f3f1b68f2da5|XXXXXXXXXXXX6760|06/13|08/17|Clara|Shannon|1298 Mary Ln$Alabama$US$33070
314afc1b-2a5e-4dbf-92e6-0b3bc873ddd2|XXXXXXXXXXXX2205|04/13|06/16|Melody|Richmond|1035 Lawndale Blvd$NewJersey$US$04030
d0a646f3-4e4e-4d46-9295-fc3034cb1dfb|XXXXXXXXXXXX0547|01/13|08/16|Wayne|Moses|1304 Florence Trail$Alabama$US$19114
d323d0a9-35dd-4abc-a854-b3762bccce73|XXXXXXXXXXXX1926|06/14|03/17|Evelyn|Vang|971 Salgarber Square$Georgia$US$69923
69c1264a-5d4b-475f-8f03-0518e53172f1|XXXXXXXXXXXX6217|06/13|03/16|Shawn|Holland|986 Severt Square$Alabama$US$62853
e37c012f-11af-45ea-8611-84586f556b1d|XXXXXXXXXXXX0434|04/14|09/17|Andy|Bullock|886 Pleasantville Boulevard$NewJersey$US$45758
47a23498-1b64-4d89-903b-119be25f136f|XXXXXXXXXXXX0877|09/13|06/16|Marcus|Landry|447 Fairview Square$California$US$80558
18674102-5fca-45c3-aad1-160729be1d36|XXXXXXXXXXXX9022|09/14|03/17|Wanda|Gross|658 Shaw Court$NewJersey$US$29755
f3f923ed-b396-4639-8088-2c01da0a5430|XXXXXXXXXXXX6768|07/13|08/17|Paige|Wheeler|1356 Richman Crescent$California$US$06030
95984780-4889-4a23-8b5b-5236e8b9affa|XXXXXXXXXXXX2245|08/13|02/17|Heather|Roach|680 Mundy Crescent$Colorado$US$54609
